member_id,full_name,age,county,employment_sector,employer_name,monthly_contribution,date_joined,phone_number,gender,member_status,remarks
SACCO-0001,Kamau Mutua,28yrs,Marsabit,Agriculture,East African Breweries,"KES 23,795",Feb-2015,+254767827638,Female,ACTIVE,
SACCO-0002,Salome Nyambura,22 years,Uasin Gishu,Transport,Absa Kenya,,2017-04,0745176955,F,Inactive,
SACCO-0003,OWINO Kiptoo,29,Siaya,Agriculture,Bamburi Cement,,06/2024,0794566031,Female,inactive,
SACCO-0004,Odhiambo sigei,62,Uasin Gishu,Trade,Cooperative Bank,76575,2019-12,0786977837,Female,active,
SACCO-0005,Mercy Lagat,57,Narok,ICT,World Vision Kenya,4272.0,2018-01,0753843426,M,INACTIVE,
SACCO-0006,Mohamed Ogutu,63,Kirinyaga,Manufacturing,KRA,,2023-05,,F,Active,
SACCO-0007,  John njoroge,29,Uasin Gishu,ICT,PWC Kenya,"KES 77,118",Jul-2016,+254762820592,FEMALE,inactive,
SACCO-0008,Moses Kimani,39 years,Bomet,Agriculture,Mombasa County Govt,"KES 6,765",2022-01,0796593904,Male,Active,
SACCO-0070,Beatrice Korir,34,Uasin Gishu,Finance,World Vision Kenya,,Oct-2015,0702614124,F,INACTIVE,
SACCO-0010,Adhiambo Ochieng,27,Tana River,ICT,KCB Group,54.9K,Mar-2023,,M,active,
SACCO-0011,Karanja Onyango,41,Makueni,Transport,Cooperative Bank,,Aug-2023,0730158366,M,active,
SACCO-0012,Wanjiku Mutuku,26,Bomet,Agriculture,Total Kenya,22423,04/2022,,Female,active,
SACCO-0013,Salome ogutu,44,Kwale,ICT,AMREF,19363,01/2016,254745540424,M,Active,
SACCO-0014,Chebet Muthoni,26,Turkana,Agriculture,Equity Bank,3419.0,2023-01,0731726318,Male,Active,
SACCO-0015,Achieng Kipchoge,,Kwale,Trade,Absa Kenya,,2023-11,0720776478,M,Active,
SACCO-0016,Achieng Mutua,52yrs,Isiolo,Manufacturing,Equity Bank,9.7K,Mar-2016,+254709121552,F,Active,
SACCO-0017,Adhiambo Odongo,48yrs,West Pokot,Finance,Kenya Airways,25.8K,2018-11,0732035886,M,active,
